term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
DataSet-Owner-GivenNames,GivenNames,"The personal name of the data collection's legal owner. The name given to the person as a personal name (the first or christian name in western cultures, including middle initials). The given name may contain several words. It is applicable only to people (vCard: N-Given + vCard: N-Middle).",,Wen; Jerry B.; Maria Teresa; Ichiro; Hans-Werner,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/GivenNames,,DataSet-Owner-AtomisedName,2005-09-09,2005-09-09,
DataSet-Owner-PreferredName,PreferredName,The preferred name of the owner of the data collection. The preferred name may differ from the first given name  (vCard: Nickname).,,Bob,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/PreferredName,,DataSet-Owner-AtomisedName,2005-09-09,2005-09-09,
DataSet-Owner-Roles,Roles,A container element for several roles of the owner of the data collection.,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Roles,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-Role,Role,Title for the role of the person or organisation that is the owner of the data collection. This element can be used to provide a title when no individual person is named.,,Director; Database Administrator; Curator,Property,DataSet-Owner,True,True,/DataSets/DataSet/Metadata/Owners/Owner/Roles/Role,,DataSet-Owner-Roles,2005-09-09,2005-09-09,
DataSet-Owner-Role-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Roles/Role/@language,,DataSet-Owner-Role,2005-09-09,2005-09-09,
DataSet-Owner-Addresses,Addresses,A container element for several contact addresses for the data collection owner (person or organisation).,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Addresses,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-Address,Address,A string representing the address of the data collection owner (person or organisation). The attribute @preferred is used to indicate the preferred postal address.,,,Property,DataSet-Owner,False,True,/DataSets/DataSet/Metadata/Owners/Owner/Addresses/Address,,DataSet-Owner-Addresses,2005-09-09,2005-09-09,
DataSet-Owner-Address-@preferred,preferred,The address marked as preferred by means of this attribute should be the first approached. The other addresses named should be regarded as alternate addresses.,,true,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Addresses/Address/@preferred,,DataSet-Owner-Address,2005-09-09,2005-09-09,
DataSet-Owner-Address-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Addresses/Address/@language,,DataSet-Owner-Address,2005-09-09,2005-09-09,
DataSet-Owner-TelephoneNumbers,TelephoneNumbers,A container element for several telephone and fax numbers for the owner of the data collection (person or organisation).,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-TelephoneNumber,TelephoneNumber,Telephone or fax number for the legal owner of the data collection.,"Numbers should be provided in the ITU (International Telecommunication Union) international format (""+Country-Code Area-Code Number""). \n\nThe preferred attribute @preferred indicates the preferred number.",+44 9876 543210,Class,DataSet-Owner,False,True,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber,,DataSet-Owner-TelephoneNumbers,2005-09-09,2005-09-09,
DataSet-Owner-TelephoneNumber-@preferred,preferred,The telephone number marked as preferred by means of this attribute should be the first approached. The other telephone numbers should be regarded as alternative numbers.,,,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/@preferred,,DataSet-Owner-TelephoneNumber,2005-09-09,2005-09-09,
DataSet-Owner-Number,Number,Full telephone or fax number of the owner of the data collection.,"Numbers should be provided in the ITU international format (""+Country-Code Area-Code Number"").",+44 9876 543210,Property,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/Number,,DataSet-Owner-TelephoneNumber,2005-09-09,2005-09-09,
DataSet-Owner-Device,Device,The type of device reached by the telephone number of the data collection owner.,,voice; fax; voice/fax,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/Device,,DataSet-Owner-TelephoneNumber,2005-09-09,2005-09-09,
DataSet-Owner-UsageNotes,UsageNotes,Free text describing constraints on use of the telephone number of the legal owner of the data collection.,,Weekdays only; Home number,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/UsageNotes,,DataSet-Owner-TelephoneNumber,2005-09-09,2005-09-09,
DataSet-Owner-UsageNotes-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/UsageNotes/@language,,DataSet-Owner-UsageNotes,2005-09-09,2005-09-09,
DataSet-Owner-EmailAddresses,EmailAddresses,A container element for several contact email addresses for the owner of the data collection (person or organisation).,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/EmailAddresses,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-EmailAddress,EmailAddress,A valid contact email address for the owner of the data collection. <br/><br/>The @preferred attribute indicates a preferred email address.,,any.person@example.org,Property,DataSet-Owner,False,True,/DataSets/DataSet/Metadata/Owners/Owner/EmailAddresses/EmailAddress,,DataSet-Owner-EmailAddresses,2005-09-09,2005-09-09,
DataSet-Owner-EmailAddress-@preferred,preferred,The email address marked as preferred by means of this attribute should be the first approached. The other email addresses named should be regarded as alternative email addresses.,,true,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/EmailAddresses/EmailAddress/@preferred,,DataSet-Owner-EmailAddress,2005-09-09,2005-09-09,
DataSet-Owner-URIs,URIs,A container element for several URLs for websites representing the owner of the data collection (person or organisation).,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/URIs,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-URI,URI,Publicly available URL for the person or organisation representing the legal owner of the data collection. <br/><br/>The @preferred attribute indicates the main URL.,,http://www.example.com/index.html,Property,DataSet-Owner,False,True,/DataSets/DataSet/Metadata/Owners/Owner/URIs/URI,/DataSets/DataSet/Metadata/Owners/Owner/URIs/URL,DataSet-Owner-URIs,2005-09-09,2006-10-09,
DataSet-Owner-URI-@preferred,preferred,The URL marked as preferred by means of this attribute should be the first used. The other URLs named should be regarded as alternative URLs.,,,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/URIs/URI/@preferred,/DataSets/DataSet/Metadata/Owners/Owner/URIs/URL/@preferred,DataSet-Owner-URI,2005-09-09,2006-10-09,
DataSet-Owner-LogoURI,LogoURI,The URL of a logo image of the item or holding organisation representing the owner of the data source. The logo image may give a quick indication of the source in result sets comprising data from several datasets.,,http://www.example.com/index.html,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/LogoURI,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-IPRStatements,IPRStatements,"A sequence of statements related to intellectual property rights, credit and acknowledgements for the dataset. This can be used as source for the Darwin Core element ""Rights"". Giving a copyright statement and a licence is highly recommended!",,copyright; terms of use; license; disclaimer or acknowledgement,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-IPRDeclarations,IPRDeclarations,"A container element for several IPR declarations for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations,,DataSet-IPRStatements,2005-09-09,2005-09-09,
