termList,term
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/digitizationDate
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/fundingAttribution
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/furtherInformationURL
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/hashFunction
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/hashValue
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/hasServiceAccessPoint
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/IDofContainingCollection
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/licenseLogoURL
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/licensingException
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataCreator
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataCreatorLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataLanguage
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataLanguageLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataProvider
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/metadataProviderLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/otherScientificName
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/physicalSetting
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/provider
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/providerID
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/providerLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/providerManagedID
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/relatedResourceID
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/resourceCreationTechnique
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/reviewer
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/reviewerComments
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/reviewerLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/serviceExpectation
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectOrientation
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectPart
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subtype
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subtypeLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/tag
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/taxonCount
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/taxonCoverage
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/timeOfDay
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/variant
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/variantDescription
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/variantLiteral
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/abcdEquivalence
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/organizedInClass
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/decision
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/status
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/Vocabulary
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/TermList
http://rs.tdwg.org/dwc/terms/attributes/,http://rs.tdwg.org/dwc/terms/attributes/required
